cafe_id,name,study_score,seat_selection_count,concentration_selection_count,total_review_count,Feature
73,아임일리터(월평동),0.046341463,14,5,410,
74,스타벅스 월평트레이더스점(월평동),0.035563875,48,28,2137,"빵, 케이크, 샌드위치, 주차 가능"
75,카페드롭탑 대전(월평동),0.0875,16,12,320,"빵, 케이크, 샌드위치, 넓은 홀, 2층 이상, 주차 가능, 스터디룸"
76,오브떼르(구암동),0.006299213,4,0,635,"베이커리, 빵, 케이크, 샌드위치, 넓은 홀, 주차 가능"
77,폴인레미유 대전점(구암동),0.00155521,1,0,643,"빵, 케이크, 2층 이상,"
78,스타벅스 대전구암DT점(구암동),0.056906615,65,52,2056,"빵, 케이크, 샌드위치, 넓은 홀, 2층 이상, 주차 가능, 1인석"
79,드롭탑 유성복합터미널DT점(구암동),0.119926199,40,25,542,"빵, 케이크, 샌드위치, 넓은 홀, 2층 이상, 주차 가능, 1인석"
80,투썸플레이스 대전(장대동),0.11827957,38,28,558,"빵, 케이크"
81,스타벅스 대전(장대동),0.064849624,35,34,1064,"빵, 케이크, 넓은 홀, "
82,뚜레쥬르 대전(장대동),0.005277045,1,1,379,"베이커리, 빵, 케이크, 샌드위치"
83,파리바게트 유성장대점(장대동),0.02987013,19,4,770,"베이커리, 빵, 케이크, 샌드위치"
