카페,카페 도로명 주소,위도,경도,평균평점,평균가격,공부환경점수,매장이 청결해요,좌석이 편해요,집중하기 좋아요,카테고리 총 투표수,지역 위치
파스쿠찌 유성온천역점(봉명동),"34179 대전광역시 유성구 계룡로 92 (봉명동, 유성CJ나인파크) 카페파스쿠찌",36.3539,127.3406,4.43,5784.211,0.25,35,26,17,312,봉명동
파스쿠찌 대전 봉명점(봉명동),34185 대전광역시 유성구 온천북로 15 카페파스쿠찌,36.3573117,127.34482,4.49,5784.211,0.187126,36,39,50,668,봉명동
탐앤탐스 대전유성점(봉명동),34185 대전광역시 유성구 문화원로146번길 7-21 1층 탐앤탐스,36.3579,127.3529,3.9,4910,0.230303,28,19,29,330,봉명동
파리바게뜨 유성푸르지오점(봉명동),34186 대전광역시 유성구 온천로 45 (봉명동) 101호 파리바게뜨,36.3556963,127.3429483,4.43,3911.321,0.146286,110,13,5,875,봉명동
카페소담(봉명동),34185 대전광역시 유성구 문화원로146번길 2 에이스타운 4차 101호 카페소담,36.3579704,127.3529,4.38,5573.171,0.158088,23,13,7,272,봉명동
빽다방 대전유성리베라점(봉명동),34178 대전광역시 유성구 계룡로 64 미성샤르망 빽다방,36.354605,127.3378571,4.45,4085.965,0.086275,32,5,7,510,봉명동
빽다방 대전봉명우산점(봉명동),34185 대전광역시 유성구 문화원로 86 1층 103호 빽다방,36.3587477,127.3469016,4.82,4085.965,0.097378,18,5,3,267,봉명동
킁킁커피(봉명동),34169 대전광역시 유성구 계룡로 55 105호 킁킁커피,36.3557132,127.3371923,4.58,3320.455,0.140244,38,5,3,328,봉명동
이디야 대전유성온천역점(봉명동),34179 대전광역시 유성구 계룡로 92 cj나인파크 101-1호 이디야,36.3536039,127.3406953,4.39,4106.061,0.164589,41,16,9,401,봉명동
투썸플레이스 유성봉명점(봉명동),34184 대전광역시 유성구 문화원로 99 1층 투썸플레이스,36.3592163,127.3468387,4,5770.513,0.145414,25,13,27,447,봉명동
투썸플레이스 대전유성온천점(봉명동),34187 대전광역시 유성구 온천로 84 1층 투썸플레이스,36.3544544,127.3470556,4.42,5770.513,0.122302,19,22,10,417,봉명동
투썸플레이스 대전도안바로세움점(봉명동),34189 대전광역시 유성구 계룡로 142 바로세움병원 1층 투썸플레이스,36.3521129,127.3458931,4.8,5770.513,0.19403,48,34,22,536,봉명동
감성커피 대전유성점(봉명동),34186 대전광역시 유성구 온천로 45 유스퀘어동 1층 120호 감성커피,36.3556963,127.3429483,4.42,4261.728,0.07078,30,6,3,551,봉명동
뚜레쥬르 대전도안봉명점(봉명동),34188 대전광역시 유성구 계룡로132번길 10 뚜레쥬르,36.346,127.3409,4.46,4113.333,0.122156,85,11,6,835,봉명동
디저트39 대전(봉명동),34189 대전광역시 유성구 계룡로 150 205호 디저트39,36.3550332,127.336964,4.44,5223.529,0.102069,58,13,3,725,봉명동
빽다방 대전유성센트럴점(봉명동),34188 대전광역시 유성구 계룡로132번길 10 1층 105호 빽다방,36.3550332,127.336964,3,4085.965,0.049808,11,0,2,261,봉명동
브레드마마 봉명점(봉명동),34190 대전광역시 유성구 도안대로 512-21 1층 브레드마마,36.3461,127.3416,4.36,4218.182,0.107962,60,18,2,741,봉명동
오슬로의 시간(죽동),34127 대전광역시 유성구 죽동로280번길 32 1층 오슬로의 시간,36.3770612,127.3328339,4.25,6328.571,0.04886,15,0,0,307,죽동
콜마르브레드(죽동),34127 대전광역시 유성구 죽동로297번길 12 콜마르브레드,36.3770612,127.3328339,4.46,3178.571,0.097183,65,2,2,710,죽동
카페희스밀(죽동),34127 대전광역시 유성구 죽동로279번길 80 카페희스밀,36.3723462,127.3405583,4.4,7000,0.043269,14,3,1,416,죽동
다온by모루(죽동),34127 대전광역시 유성구 죽동로242번길 59 1층 다온by모루,36.3770612,127.3328339,4.53,4617.647,0.06075949,24,0,0,395,죽동
파스쿠찌(죽동),34127 대전광역시 유성구 죽동로297번길 46 (죽동) 파스쿠찌,36.3749946,127.3373999,4.59,5784.211,0.24013158,30,20,23,304,죽동
커스텀커피 대전(죽동),34127 대전광역시 유성구 죽동로297번길 83 1층 101호 커스텀커피,36.3770612,127.3328339,5,5000,0.11688312,42,2,1,385,죽동
카페미뇽 대전(죽동),34127 대전광역시 유성구 죽동로280번길 34 1층 카페미뇽,36.3770612,127.3328339,4.5,5720,0.12926829,35,12,6,410,죽동
빽다방 대전(죽동),34127 대전광역시 유성구 죽동로 295 101호 빽다방,36.3770612,127.3328339,4.6,4085.965,0.05277045,17,1,2,379,죽동
파리바게뜨 대전(죽동),34127 대전광역시 유성구 죽동로298번길 14 [다이소 맞은편] 파리바게뜨,36.3770612,127.3328339,4,3911.321,0.15140187,68,10,3,535,죽동
투썸플레이스 대전(죽동),34127 대전광역시 유성구 죽동로297번길 22 예지빌딩 1층 투썸플레이스,36.3770612,127.3328339,3.8,5770.513,0.1897436,19,8,10,195,죽동
배스킨라빈스 대전(죽동),"34127 대전광역시 유성구 유성대로 871 (죽동) 1층 101(일부), 102,103호(죽동) 배스킨라빈스",36.370534,127.3355477,4.1,4626.667,0.2230869,142,25,5,771,죽동
공차 대전(죽동),34127 대전광역시 유성구 죽동로279번길 34 공차,36.3770612,127.3328339,4.4,5070.833,0.10536779,43,5,5,503,죽동
우디룸(어은동),34139 대전광역시 유성구 어은로48번길 19 1층 우디룸,36.3632174,127.3580742,4.65,4893.75,0.0754717,16,0,0,212,어은동
